"harmonised_name","ihs2_name","ihs3_name","ihs4_name","ihs5_name","label","module","topic","needs_review","n_rounds"
"moduleb_starthr","","","moduleb_starthr","moduleb_starthr","HOUR:","f1","survey_admin",FALSE,4
"moduleb_startmin","","","moduleb_startmin","moduleb_startmin","MINUTES:","f1","survey_admin",FALSE,4
"modulef_endhr","","","modulef_endhr","modulef_endhr","ENUMERATOR:RECORD END TIME FOR MODULE F HOUR","f1","survey_admin",FALSE,4
"modulef_endmin","","","modulef_endmin","modulef_endmin","MINUTES","f1","survey_admin",FALSE,4
"modulef_respondent","","","modulef_respondent","modulef_respondent","ENUMERATOR: RECORD PRIMARY RESPONDENT ID FOR MODULE F:","f1","survey_admin",FALSE,4
"modulef_start_date","","","modulef_start_date","modulef_start_date","ENUMERATOR:RECORD START DATE &amp; TIME FOR MODULE F","f1","survey_admin",FALSE,4
"modulef_starthr","","","modulef_starthr","modulef_starthr","HOUR","f1","survey_admin",FALSE,4
"modulef_startmin","","","modulef_startmin","modulef_startmin","MINUTES","f1","survey_admin",FALSE,4
"moduleg_endhr","","","moduleg_endhr","moduleg_endhr","ENUMERATOR:RECORD END TIME FOR MODULE G HOUR","f1","survey_admin",FALSE,4
"moduleg_endmin","","","moduleg_endmin","moduleg_endmin","MINUTES","f1","survey_admin",FALSE,4
"moduleg_respondent","","","moduleg_respondent","moduleg_respondent","ENUMERATOR:RECORD PRIMARY RESPONDENT ID FOR MODULE G:","f1","survey_admin",FALSE,4
"moduleg_start_date","","","moduleg_start_date","moduleg_start_date","ENUMERATOR:RECORD START DATE FOR MODULE G","f1","survey_admin",FALSE,4
"moduleg_starthr","","","moduleg_starthr","moduleg_starthr","ENUMERATOR:RECORD START TIME FOR MODULE GHOUR","f1","survey_admin",FALSE,4
"moduleg_startmin","","","moduleg_startmin","moduleg_startmin","MINUTES","f1","survey_admin",FALSE,4
"moduleh_endhr","","","moduleh_endhr","moduleh_endhr","ENUMERATOR:RECORD END TIME FOR MODULE H HOUR","f1","survey_admin",FALSE,4
"moduleh_endmin","","","moduleh_endmin","moduleh_endmin","MINUTES","f1","survey_admin",FALSE,4
